,0
1133,8966220b50bffff
1134,8966220b073ffff
1135,8966220b103ffff
1136,8966220b403ffff
1137,89662256937ffff
1138,8966220b55bffff
1139,8966220b6abffff
1140,8966225693bffff
1141,8966220b193ffff
1142,8966220b6cbffff
1143,8966220b0a7ffff
1144,8966220b087ffff
1145,896622568c7ffff
1146,89662256b7bffff
1147,89662256897ffff
1148,8966220b04bffff
1149,8966220b057ffff
1150,8966220b697ffff
1151,8966220b5cfffff
1152,8966220b0d3ffff
1153,89662254897ffff
1154,8966220a24fffff
1155,89662256a17ffff
1156,89662256a8fffff
1157,89662256bd7ffff
1158,89662256babffff
1159,8966220b53bffff
1160,8966225684bffff
1161,896622568abffff
1162,89662256b3bffff
1163,89662254cb7ffff
1164,8966225690bffff
1165,89662256b0fffff
1166,89662254dcbffff
1167,89662254c27ffff
1168,8966220b0cfffff
1169,8966220b07bffff
1170,89662254d83ffff
1171,8966220b693ffff
1172,89662256aa3ffff
1173,89662254ddbffff
1174,89662256857ffff
1175,89662256ab7ffff
1176,8966220b6c7ffff
1177,8966221927bffff
1178,89662254c07ffff
1179,8966220b29bffff
1180,8966220b533ffff
1181,8966225692bffff
1182,89662256973ffff
1183,8966225694fffff
1184,89662254c87ffff
1185,8966220b553ffff
1186,8966220b1cfffff
1187,8966220a2cbffff
1188,89662256b4fffff
1189,89662256c03ffff
1190,89662254d5bffff
1191,896622569cbffff
1192,8966220b40bffff
1193,8966225683bffff
1194,8966220b443ffff
1195,896622568a3ffff
1196,8966220b4cbffff
1197,8966220b033ffff
1198,89662254c8bffff
1199,8966220b5cbffff
1200,89662256bc3ffff
1201,8966220b053ffff
1202,89662254c17ffff
1203,8966225691bffff
1204,8966220b62bffff
1205,89662254c03ffff
1206,8966220b6dbffff
1207,89662256b47ffff
1208,89662256813ffff
1209,89662256c2bffff
1210,896622568c3ffff
1211,8966220b683ffff
1212,89662256903ffff
1213,89662256aa7ffff
1214,8966225695bffff
1215,8966220b0b7ffff
1216,8966220b1c3ffff
1217,8966220b187ffff
1218,89662256827ffff
1219,8966220b10bffff
1220,8966220b0afffff
1221,8966220b113ffff
1222,89662256a27ffff
1223,8966220a247ffff
1224,89662256943ffff
1225,89662254ca7ffff
1226,8966220b567ffff
1227,8966220b6d7ffff
1228,89662256b8bffff
1229,8966220b067ffff
1230,8966220b537ffff
1231,89662256b23ffff
1232,8966225680fffff
1233,8966220b573ffff
1234,89662256b8fffff
1235,89662256bcbffff
1236,89662256b53ffff
1237,89662256a3bffff
1238,8966220b02bffff
1239,89662256b67ffff
1240,89662256853ffff
1241,8966220b46bffff
1242,89662254cb3ffff
1243,8966220b507ffff
1244,89662254c77ffff
1245,8966220b457ffff
1246,8966220b6d3ffff
1247,89662256a07ffff
1248,89662256833ffff
1249,8966220b04fffff
1250,89662256947ffff
1251,896622568cfffff
1252,8966220b18bffff
1253,8966220b407ffff
1254,89662256977ffff
1255,89662256bc7ffff
1256,8966220b427ffff
1257,8966220b083ffff
1258,89662256b57ffff
1259,8966220b1bbffff
1260,896622568d7ffff
1261,89662256b2bffff
1262,8966220b027ffff
1263,8966220b41bffff
1264,8966220b42fffff
1265,8966220b433ffff
1266,8966220b047ffff
1267,8966220b467ffff
1268,8966225692fffff
1269,89662256933ffff
1270,89662256883ffff
1271,8966220b44fffff
1272,8966220b1d3ffff
1273,8966220b393ffff
1274,89662254c2fffff
1275,8966220b143ffff
1276,89662256927ffff
1277,89662256837ffff
1278,8966220b623ffff
1279,8966220b57bffff
1280,8966220b08fffff
1281,89662256b13ffff
1282,8966220b447ffff
1283,89662254c1bffff
1284,8966220b0c3ffff
1285,8966225680bffff
1286,89662256c67ffff
1287,89662254d97ffff
1288,89662219247ffff
1289,8966225687bffff
