id,source_country,source_client,lat,lng
29377,COLOMBIA,Client,6.3017488,-75.5745268
4520,COLOMBIA,Client,4.6153617,-74.2140475
9639,COLOMBIA,Client,3.4782702,-76.500467
16432,COLOMBIA,Client,6.2825046,-75.5900801
17344,COLOMBIA,Client,4.6820115,-74.0653504
33279,COLOMBIA,Client,6.1620891,-75.6238277
24348,COLOMBIA,Client,4.7199783,-74.0483736
16420,COLOMBIA,Client,4.5721197,-74.1587512
7320,COLOMBIA,Client,4.6732235,-74.1457968
29823,COLOMBIA,Client,4.076187,-76.1901728
5505,COLOMBIA,Client,5.026003,-74.0300122
29316,COLOMBIA,Client,7.0770308,-73.1748281
997,COLOMBIA,Client,4.6503974,-74.0679878
25658,COLOMBIA,Client,3.3143345,-76.4889214
4795,COLOMBIA,Client,4.751891,-74.116535
2958,COLOMBIA,Client,7.0584141,-73.1594387
22746,COLOMBIA,Client,4.5860246,-74.1550829
21811,COLOMBIA,Client,4.6914939,-74.0919794
17656,COLOMBIA,Client,6.1515906,-75.6143778
20548,COLOMBIA,Client,4.6055847,-74.1879886
4679,COLOMBIA,Client,4.7112553,-74.1256557
21539,COLOMBIA,Client,10.8895304,-74.8163564
28372,COLOMBIA,Client,10.9725979,-74.7847765
24138,COLOMBIA,Client,10.886482,-74.8131329
1072,COLOMBIA,Client,4.918376,-74.0290089
21996,COLOMBIA,Client,10.93138,-74.7698595
35903,COLOMBIA,Client,6.9961005,-73.0830332
5744,COLOMBIA,Client,4.7176677,-74.2118741
23176,COLOMBIA,Client,4.534598,-74.1090197
36408,COLOMBIA,Client,4.7273748,-74.0529965
15678,COLOMBIA,Client,4.5111453,-74.114705
435,COLOMBIA,Client,4.6216371,-74.1862296
1789,COLOMBIA,Client,7.1257259,-73.1169744
17682,COLOMBIA,Client,3.4477454,-76.5265715
20356,COLOMBIA,Client,10.9755399,-74.7901311
676,COLOMBIA,Client,-2.8918409,-69.7419233
12243,COLOMBIA,Client,4.6945095,-74.1691114
22269,COLOMBIA,Client,4.7525035,-74.044628
2008,COLOMBIA,Client,4.6131817,-74.1999971
3124,COLOMBIA,Client,4.5703053,-74.2325814
9535,COLOMBIA,Client,4.7398402,-74.0930971
793,COLOMBIA,Client,4.6222321,-74.1549219
20116,COLOMBIA,Client,4.6108768,-74.1462618
28061,COLOMBIA,Client,4.6961087,-74.1786334
17317,COLOMBIA,Client,4.5365022,-74.1140586
20870,COLOMBIA,Client,10.9622331,-74.7750158
18696,COLOMBIA,Client,3.4764029,-76.5014546
18700,COLOMBIA,Client,6.1521528,-75.6119358
17993,COLOMBIA,Client,4.641348,-74.0618921
19419,COLOMBIA,Client,4.6651599,-74.135486
34443,COLOMBIA,Client,4.7149205,-74.1058108
33802,COLOMBIA,Client,4.7034504,-74.0508949
10781,COLOMBIA,Client,4.6747947,-74.0978205
5455,COLOMBIA,Client,4.5675016,-74.1306662
1924,COLOMBIA,Client,4.9296964,-74.1738982
13269,COLOMBIA,Client,4.723738,-74.042745
29295,COLOMBIA,Client,6.2965658,-75.5478872
12368,COLOMBIA,Client,4.6017906,-74.1334863
7689,COLOMBIA,Client,4.6940715,-74.1510776
21374,COLOMBIA,Client,3.4247206,-76.4697804
24521,COLOMBIA,Client,3.579026,-76.4947611
34040,COLOMBIA,Client,6.1719374,-75.5738584
36432,COLOMBIA,Client,4.7219518,-74.0549164
34874,COLOMBIA,Client,4.7181471,-74.0687171
25208,COLOMBIA,Client,4.5535163,-74.1373593
8757,COLOMBIA,Client,4.707902,-74.106634
835,COLOMBIA,Client,4.6827816,-74.0867692
21569,COLOMBIA,Client,10.917106,-74.7938051
30002,COLOMBIA,Client,5.0294971,-74.001224
31232,COLOMBIA,Client,4.6918432,-74.0873457
5362,COLOMBIA,Client,7.1338909,-73.1187045
12064,COLOMBIA,Client,3.4750744,-76.5146981
16802,COLOMBIA,Client,4.5857867,-74.1506881
8950,COLOMBIA,Client,3.3698964,-76.5406431
16440,COLOMBIA,Client,6.2255471,-75.6004442
1668,COLOMBIA,Client,5.0243493,-74.0078471
16633,COLOMBIA,Client,6.2631957,-75.5692595
32864,COLOMBIA,Client,4.634118,-74.1690788
3112,COLOMBIA,Client,4.6797106,-74.0793325
30239,COLOMBIA,Client,3.4593344,-76.5210976
9716,COLOMBIA,Client,3.3957228,-76.5540631
14761,COLOMBIA,Client,7.1049869,-73.1168267
4243,COLOMBIA,Client,4.6423806,-74.1609564
18791,COLOMBIA,Client,6.2440351,-75.5451987
17394,COLOMBIA,Client,4.588926,-74.2242156
37553,COLOMBIA,Client,5.0623193,-73.9794934
35790,COLOMBIA,Client,3.4516584,-76.482607
3148,COLOMBIA,Client,4.6760257,-74.0729601
14431,COLOMBIA,Client,4.6659689,-74.136462
2125,COLOMBIA,Client,3.4159134,-76.5072955
30375,COLOMBIA,Client,4.6001562,-74.1883804
12906,COLOMBIA,Client,7.1350507,-73.1187447
5416,COLOMBIA,Client,4.544786,-74.1432587
36925,COLOMBIA,Client,4.71757,-74.2282261
3284,COLOMBIA,Client,3.4461366,-76.5117477
24362,COLOMBIA,Client,10.9614679,-74.7924883
11409,COLOMBIA,Client,3.4028211,-76.5035985
18685,COLOMBIA,Client,4.7377824,-74.029821
16729,COLOMBIA,Client,4.6040465,-74.0824065
29578,COLOMBIA,Client,4.5027291,-74.1207277
11370,COLOMBIA,Client,4.5448976,-74.1131421
12654,COLOMBIA,Client,4.6513059,-74.059456
15292,COLOMBIA,Client,4.684588,-74.1047426
5327,COLOMBIA,Client,7.1364599,-73.1245043
2813,COLOMBIA,Client,7.1400847,-73.1346401
5301,COLOMBIA,Client,7.1554604,-73.1353305
17278,COLOMBIA,Client,6.1918886,-75.6030782
17163,COLOMBIA,Client,3.4398885,-76.5332948
33737,COLOMBIA,Client,4.5934802,-74.0989984
16778,COLOMBIA,Client,4.7928445,-74.1986088
37377,COLOMBIA,Client,4.6745989,-74.0823545
