,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4151,K DE ANDRADE FERNANDES,10650971000130,"RUA IRIS LEONOR  153 , SAO PAULO",-23.4769377,-46.6360205,SAO PAULO,1
4152,THEFEX COMERCIO DE MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10654056000113,"AVENIDA  MOGI DAS CRUZES  529 , SUZANO",-23.537651,-46.3194641,SUZANO,4
4153,CALACATTA COMERCIO DE PEDRAS EIRELI,10654357000147,"AVENIDA OTTO BAUMGART  500 , SAO PAULO",-23.5145576,-46.6151734,SAO PAULO,1
4154,DSM MATERIAIS PARA CONSTRUCAO LTDA,10655221000151,"RUA SALVADOR DE ALBUQUERQUE  35 , SAO PAULO",-23.4267915,-46.7257165,SAO PAULO,3
4155,MADEIRAS PONTO COM COMERCIO DE MADEIRAS LTDA,10655912000155,"RUA BARRA DO TIBAJI  1057 , SAO PAULO",-23.525859,-46.6476645,SAO PAULO,1
4156,TELHADOS SATURNO LIMITADA,10658632000109,"AVENIDA CANGAIBA  3608 , SAO PAULO",-23.5058816,-46.5219618,SAO PAULO,2
4157,BARBERO E FERREIRA COMERCIO E INSTALACOES LTDA,10662524000100,"RUA GREGORIO SOUZA  276 , SAO PAULO",-23.5433192,-46.5190508,SAO PAULO,2
4158,J L DA C ABRAHAO COMERCIO DE PORTAS E JANELAS,10663090000154,"AVENIDA CANDIDO PORTINARI  285 , SAO PAULO",-23.5081478,-46.7496439,SAO PAULO,2
4159,BASICO MATERIAIS PARA CONSTRUCAO LTDA,10663328000141,"RUA ERNEST RENAM  1001 , SAO PAULO",-23.6140816,-46.7239901,SAO PAULO,2
4160,MPH COMERCIO DE PRODUTOS LTDA,10663421000156,"RUA JOSE VICTORINO PEREIRA  428 , SAO PAULO",-23.6003414,-46.5229374,SAO PAULO,2
4161,LABOR MATERIAIS PARA CONSTRUCAO LTDA,10665613000100,"RUA JOTA CARLOS  87 , SAO PAULO",-23.4855119,-46.5704983,SAO PAULO,2
4162,EDSON ANTONIO DA MOTA PORTOES,10665660000145,"RUA GASPAR DE SOUZA  79 , SAO BERNARDO DO CAMPO",-23.7405535,-46.5350336,SAO BERNARDO DO CAMPO,4
4164,COMERCIO DE FERRAGENS E ACESSORIOS O CORRIMAO LTDA,10676034000154,"AVENIDA SAPOPEMBA  10667 , SAO PAULO",-23.6109081,-46.5038181,SAO PAULO,2
4165,DISTRIBUIDORA BRAS CUBAS DE AREIA E PEDRA LTDA,10676300000149,"AVENIDA ANCHIETA  587 , MOGI DAS CRUZES",-23.5375365,-46.2274141,MOGI DAS CRUZES,4
4166,BOMTEC  ASSISTENCIA TECNICA EM BOMBAS E MOTORES ELETRICOS LTDA,10676911000197,"RUA LUIZ DA COSTA RAMOS  45 , SAO PAULO",-23.629247,-46.6190069,SAO PAULO,2
4167,ALVES COR PINTURA E COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,10679585000171,"RUA GONCALVES DE MENDONCA  414 , SAO PAULO",-23.5985561,-46.4397269,SAO PAULO,3
