,source_country,macrozone,microzone,r8_h3
407,COLOMBIA,Cartagena,Cartagena,8866313103fffff
408,COLOMBIA,Cartagena,Cartagena,8866310481fffff
409,COLOMBIA,Cartagena,Cartagena,8866313a93fffff
410,COLOMBIA,Cartagena,Cartagena,8866313123fffff
411,COLOMBIA,Cartagena,Cartagena,8866313333fffff
412,COLOMBIA,Cartagena,Cartagena,8866310485fffff
413,COLOMBIA,Cartagena,Cartagena,88663104bdfffff
414,COLOMBIA,Cartagena,Cartagena,8866313a8dfffff
415,COLOMBIA,Cartagena,Cartagena,8866313aebfffff
416,COLOMBIA,Cartagena,Cartagena,8866313139fffff
417,COLOMBIA,Cartagena,Cartagena,8866313161fffff
418,COLOMBIA,Cartagena,Cartagena,8866313151fffff
419,COLOMBIA,Cartagena,Cartagena,88663104d3fffff
420,COLOMBIA,Cartagena,Cartagena,8866313ac5fffff
421,COLOMBIA,Cartagena,Cartagena,886631048bfffff
422,COLOMBIA,Cartagena,Cartagena,8866313855fffff
423,COLOMBIA,Cartagena,Cartagena,8866313a31fffff
424,COLOMBIA,Cartagena,Cartagena,886631336dfffff
425,COLOMBIA,Cartagena,Cartagena,8866313341fffff
426,COLOMBIA,Cartagena,Cartagena,8866313363fffff
427,COLOMBIA,Cartagena,Cartagena,88663104d7fffff
428,COLOMBIA,Cartagena,Cartagena,8866313a39fffff
429,COLOMBIA,Cartagena,Cartagena,8866313149fffff
430,COLOMBIA,Cartagena,Cartagena,8866313163fffff
431,COLOMBIA,Cartagena,Cartagena,8866313107fffff
432,COLOMBIA,Cartagena,Cartagena,886631332bfffff
433,COLOMBIA,Cartagena,Cartagena,8866313a9bfffff
434,COLOMBIA,Cartagena,Cartagena,8866313acdfffff
435,COLOMBIA,Cartagena,Cartagena,8866313a1dfffff
436,COLOMBIA,Cartagena,Cartagena,886631311dfffff
437,COLOMBIA,Cartagena,Cartagena,8866313859fffff
438,COLOMBIA,Cartagena,Cartagena,88663106bbfffff
439,COLOMBIA,Cartagena,Cartagena,8866313a37fffff
440,COLOMBIA,Cartagena,Cartagena,886631312bfffff
441,COLOMBIA,Cartagena,Cartagena,8866313121fffff
442,COLOMBIA,Cartagena,Cartagena,8866313a3dfffff
443,COLOMBIA,Cartagena,Cartagena,8866313ae3fffff
444,COLOMBIA,Cartagena,Cartagena,8866313325fffff
445,COLOMBIA,Cartagena,Cartagena,8866313309fffff
446,COLOMBIA,Cartagena,Cartagena,88663104dbfffff
447,COLOMBIA,Cartagena,Cartagena,8866313a51fffff
448,COLOMBIA,Cartagena,Cartagena,8866313365fffff
449,COLOMBIA,Cartagena,Cartagena,8866313307fffff
450,COLOMBIA,Cartagena,Cartagena,8866313137fffff
451,COLOMBIA,Cartagena,Cartagena,8866313a59fffff
452,COLOMBIA,Cartagena,Cartagena,88663104a9fffff
453,COLOMBIA,Cartagena,Cartagena,8866313119fffff
454,COLOMBIA,Cartagena,Cartagena,886631332dfffff
